WT Dice,TC Dice,ET Dice,ETPro Dice,WT HD95,TC HD95,ET HD95ETPro HD95
flairt1cet1t2
HG_BraTS20_Training_010,0.06652892,0.015944285,0.052284345,0.052284345,0.04491918285687765
HG_BraTS20_Training_012,0.054849893,0.015335702,0.05751467,0.05751467,0.04256675640741984
HG_BraTS20_Training_020,0.23758677,0.17086554,0.08896459,0.08896459,0.16580562790234885
HG_BraTS20_Training_070,0.08987027,0.06058332,0.050644666,0.050644666,0.0670327494541804
HG_BraTS20_Training_089,0.1622309,0.035251692,0.15856715,0.15856715,0.11868323882420857
HG_BraTS20_Training_119,0.05899029,0.017292516,0.051479116,0.051479116,0.04258731007575989
HG_BraTS20_Training_124,0.2937129,0.16185053,0.22776042,0.22776042,0.22777462005615234
HG_BraTS20_Training_128,0.06561178,0.002897491,0.008405304,0.008405304,0.025638192892074585
HG_BraTS20_Training_134,0.13725203,0.08347124,0.07266629,0.07266629,0.09779651959737141
HG_BraTS20_Training_140,0.24685201,0.107854575,0.17814372,0.17814372,0.17761677503585815
HG_BraTS20_Training_150,0.29440877,0.13419719,0.14976266,0.14976266,0.19278955459594727
HG_BraTS20_Training_180,0.25900057,0.14554997,0.2744802,0.2744802,0.22634359200795492
HG_BraTS20_Training_188,0.11918975,0.020112177,0.04053773,0.04053773,0.05994655191898346
HG_BraTS20_Training_191,0.2752505,0.21461628,0.28986573,0.28986573,0.25991084178288776
HG_BraTS20_Training_201,0.23873962,0.07625841,0.19285734,0.19285734,0.1692851185798645
HG_BraTS20_Training_211,0.109731294,0.05482551,0.10388951,0.10388951,0.08948210875193278
HG_BraTS20_Training_212,0.25177506,0.15217127,0.06489499,0.06489499,0.1562804381052653
HG_BraTS20_Training_226,0.13573222,0.09995961,0.26512802,0.26512802,0.16693995396296182
HG_BraTS20_Training_232,0.16697742,0.034446403,0.06025037,0.06025037,0.0872247318426768
HG_BraTS20_Training_241,0.28172866,0.1047224,0.11767304,0.11767304,0.16804136832555136
HG_BraTS20_Training_245,0.23910674,0.15708035,0.32533503,0.32533503,0.2405073642730713
HG_BraTS20_Training_246,0.14554685,0.10987977,0.17849548,0.17849548,0.14464070399602255
HG_BraTS20_Training_336,0.18196873,0.12940647,0.13206966,0.13206966,0.14781494935353598
HG_BraTS20_Training_338,0.25018153,0.1382216,0.2209076,0.2209076,0.2031035820643107
HG_BraTS20_Training_344,0.13262494,0.034385383,0.042223703,0.042223703,0.06974467635154724
HG_BraTS20_Training_352,0.08868466,0.018425476,0.034611717,0.034611717,0.04724061985810598
LG_BraTS20_Training_262,0.11471115,0.011236735,5.947814e-14,5.947814e-14,0.04198263088862101
LG_BraTS20_Training_275,0.055073306,0.017426783,6.903693e-14,6.903693e-14,0.024166695773601532
LG_BraTS20_Training_278,0.20054623,0.11364534,7.209129e-14,7.209129e-14,0.10473052660624187
LG_BraTS20_Training_283,0.09006206,0.023412501,0.07201565,0.07201565,0.061830073595047
LG_BraTS20_Training_291,0.29195622,0.10196024,0.00022883771,0.00022883771,0.13138176997502646
LG_BraTS20_Training_292,0.109832674,0.07424672,0.011713239,0.011713239,0.06526421010494232
LG_BraTS20_Training_294,0.09552585,0.036691878,5.7351286e-14,5.7351286e-14,0.04407257835070292
LG_BraTS20_Training_297,0.11611841,0.042134408,6.2565696e-14,6.2565696e-14,0.052750940124193825
LG_BraTS20_Training_310,0.18430842,0.11111465,4.780389e-14,4.780389e-14,0.09847436348597209
LG_BraTS20_Training_324,0.10005776,0.0713263,5.0566342e-14,5.0566342e-14,0.05712802211443583
t1cet1t2
HG_BraTS20_Training_010,0.042019393,0.0150740715,0.0313613,0.0313613,0.029484922687212627
HG_BraTS20_Training_012,0.04721854,0.0151721435,0.0497705,0.0497705,0.037387060622374214
HG_BraTS20_Training_020,0.21427472,0.15806139,0.08222951,0.08222951,0.15152186155319214
HG_BraTS20_Training_070,0.07721107,0.05642749,0.045775145,0.045775145,0.059804568688074745
HG_BraTS20_Training_089,0.138401,0.036185365,0.14712727,0.14712727,0.10723787546157837
HG_BraTS20_Training_119,0.045816597,0.01745805,0.04286476,0.04286476,0.035379802187283836
HG_BraTS20_Training_124,0.29373842,0.16805564,0.22102083,0.22102083,0.22760496536890665
HG_BraTS20_Training_128,0.043623455,0.002457492,0.0037063665,0.0037063665,0.016595770915349323
